,Title,Published_date,Views,Likes,Favorites,Comments,Month
67,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,131296,3848,0,371,Apr
68,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,28902,813,0,40,Apr
69,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,37295,1730,0,86,Mar
70,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,22241,589,0,23,Mar
71,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,108403,3550,0,192,Mar
72,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,34401,862,0,37,Mar
73,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,11110,398,0,33,Mar
74,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,61728,1198,0,51,Feb
75,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,31810,786,0,58,Feb
76,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,431458,8212,0,224,Feb
77,FREE Data Analyst Bootcamp!!,2023-02-07,690724,25072,0,1197,Feb
78,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,835022,30766,0,919,Jan
79,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,17077,622,0,23,Jan
80,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,33339,1274,0,114,Jan
81,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,21040,670,0,44,Jan
82,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,45309,1359,0,36,Jan
83,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,57222,2795,0,222,Jan
84,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,41723,936,0,58,Jan
85,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,5728,194,0,12,Dec
86,Why I Quit my 125k Analytics Job,2022-12-20,153366,8583,0,866,Dec
87,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,5025,168,0,16,Dec
88,Converting Data Types in Python | Python for Beginners,2022-12-13,22630,677,0,24,Dec
89,Functions in Python | Python for Beginners,2022-12-06,27953,813,0,26,Dec
90,While Loops in Python | Python for Beginners,2022-11-29,25054,815,0,18,Nov
91,For Loops in Python | Python for Beginners,2022-11-22,28181,751,0,20,Nov
92,Data Analyst Q/A Livestream | November Livestream,2022-11-16,6237,202,0,18,Nov
93,If Else Statements in Python | Python for Beginners,2022-11-15,24560,763,0,23,Nov
94,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08,26253,772,0,16,Nov
95,Data Types in Python | Python for Beginners,2022-11-01,51641,1368,0,52,Nov
96,Data Analyst Q/A Livestream | October Livestream,2022-10-31,5672,184,0,11,Oct
97,Variables in Python | Python for Beginners,2022-10-25,55091,1406,0,46,Oct
98,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19,5230,246,0,23,Oct
99,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18,172345,3092,0,98,Oct
100,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13,9173,327,0,21,Oct
101,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11,7107,322,0,31,Oct
102,When Best Friends Work Together (ft. Luke Barousse),2022-10-04,15022,668,0,84,Oct
103,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01,6653,213,0,14,Oct
104,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27,251300,5037,0,301,Sep
105,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20,50327,1400,0,46,Sep
106,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13,50985,1998,0,99,Sep
107,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06,47182,1238,0,34,Sep
108,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30,72701,1369,0,39,Aug
109,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24,75853,2064,0,76,Aug
110,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23,6929,246,0,15,Aug
111,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16,23033,598,0,113,Aug
112,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09,90573,1767,0,60,Aug
113,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02,17974,796,0,72,Aug
114,250k Subscriber Live Stream!!,2022-07-26,4157,157,0,11,Jul
115,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26,92033,2145,0,99,Jul
116,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19,21860,623,0,126,Jul
117,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12,108679,2198,0,69,Jul
118,Machine Learning Specialization on Coursera | Review,2022-07-05,21396,707,0,59,Jul
119,Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28,29933,809,0,95,Jun
120,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21,45079,1647,0,133,Jun
121,How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14,155145,2869,0,65,Jun
122,Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07,43901,813,0,75,Jun
123,How to use a Public API | Using a Public API with Python,2022-05-31,25109,944,0,59,May
124,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24,220529,4344,0,200,May
125,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17,108797,2371,0,259,May
126,Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10,32932,1672,0,157,May
127,SQL vs NoSQL | What's the Difference?,2022-05-03,53721,1676,0,66,May
128,Database vs Data Warehouse vs Data Lake | What is the Difference?,2022-04-26,551878,15124,0,249,Apr
129,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,2022-04-20,11657,323,0,161,Apr
130,200k Livestream! | Shaving | Puppies | Giveaway,2022-04-14,3167,134,0,11,Apr
131,Things I HATE About Being a Data Analyst,2022-04-12,33902,1435,0,196,Apr
132,Best Website to Practice Technical Interview Questions,2022-04-05,17591,644,0,55,Apr
133,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29,6967,271,0,161,Mar
134,Full Project in Excel | Excel Tutorials for Beginners,2022-03-22,530430,12140,0,784,Mar
135,Top 5 Non-Technical Skills for Data Analysts,2022-03-15,21016,793,0,74,Mar
136,Cleaning Data in Excel | Excel Tutorials for Beginners,2022-03-01,359257,8032,0,258,Mar
137,Tableau Data Analyst Certification Review,2022-02-22,56076,1455,0,125,Feb
138,Job Title Alternatives for Data Analysts,2022-02-15,25874,1013,0,95,Feb
139,Best Coursera Courses for Data Analysts in 2022,2022-02-08,105805,5394,0,217,Feb
140,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2022-02-01,20485,719,0,61,Feb
141,Charts in Excel | Excel Tutorials for Beginners,2022-01-25,79147,2188,0,48,Jan
142,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18,22586,852,0,357,Jan
143,Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11,109870,2565,0,87,Jan
144,150k Subscriber Livestream!!,2022-01-10,3477,161,0,7,Jan
145,How To Become A Data Analyst In 2022,2022-01-04,496288,22184,0,641,Jan
146,XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28,129096,3066,0,131,Dec
147,Formulas in Excel | Excel Tutorials for Beginners,2021-12-21,208207,5103,0,290,Dec
148,Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14,419913,8994,0,274,Dec
149,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,2021-12-07,193942,4170,0,323,Dec
150,How to use Joins in Tableau | Tableau Tutorials for Beginners,2021-11-23,87482,2596,0,55,Nov
151,Top 5 Major Red Flags in Job Descriptions,2021-11-18,17887,951,0,72,Nov
152,Truth About My Job (Song) - As a Data Analyst,2021-11-08,10328,873,0,105,Nov
153,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26,11022,338,0,35,Oct
154,Choosing a Domain to Make More Money,2021-10-19,18143,910,0,81,Oct
155,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05,118662,2883,0,145,Oct
156,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28,149514,3453,0,76,Sep
157,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21,497172,12140,0,322,Sep
158,How NOT to Become a Data Analyst (Funny?),2021-09-07,17154,712,0,114,Sep
159,100k Subscriber Play Button Unboxing,2021-08-31,2634,242,0,96,Aug
160,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24,206002,5015,0,526,Aug
161,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17,86000,2333,0,158,Aug
162,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13,4732,192,0,26,Aug
163,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11,142947,4441,0,490,Aug
164,When To Start Applying To Your First Data Analyst Job,2021-07-21,67288,3776,0,228,Jul
165,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13,129865,5625,0,364,Jul
166,How to Create a Portfolio Website for FREE,2021-06-29,402055,10086,0,621,Jun
167,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22,138197,2599,0,430,Jun
168,How To Get a Data Analyst Job (with No Experience),2021-06-08,444424,19588,0,594,Jun
169,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03,6242,240,0,107,Jun
170,Favorite Tableau and Power BI Courses on Udemy,2021-06-01,29100,822,0,86,Jun
171,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25,331099,6752,0,755,May
172,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18,317740,5304,0,435,May
173,Asking My Family What I Do For a Living,2021-05-11,3690,195,0,56,May
174,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04,1576869,29379,0,3585,May
175,Advanced SQL Tutorial | Subqueries,2021-04-20,282454,6621,0,190,Apr
176,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15,22019,824,0,149,Apr
177,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13,305534,11036,0,590,Apr
178,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06,24545,885,0,84,Apr
179,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30,162312,3721,0,296,Mar
180,Best Machine Learning Courses on Coursera,2021-03-23,47557,1535,0,80,Mar
181,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18,16149,474,0,122,Mar
182,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16,301478,5839,0,157,Mar
183,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12,352405,10990,0,1169,Mar
184,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04,51654,2382,0,328,Mar
185,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,21163,537,0,77,Mar
186,Best Course to Learn Statistics for Data Analysis,2021-02-25,82415,2321,0,88,Feb
187,DataQuest Review | Is it Worth it?,2021-02-23,21980,400,0,46,Feb
188,R vs Python | Which is Better for Data Analysis?,2021-02-16,205828,4706,0,385,Feb
189,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,131470,3526,0,135,Feb
190,Advanced SQL Tutorial | Temp Tables,2021-02-02,192879,4570,0,120,Feb
191,IBM Data Analyst Certificate Study Session,2021-01-30,5150,175,0,22,Jan
192,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,105148,2800,0,292,Jan
193,DataCamp Review | Is it Worth it?,2021-01-21,149304,3281,0,249,Jan
194,Best Python Course for Data Analysts,2021-01-19,46750,1313,0,114,Jan
195,Top 5 Data Analyst Skills,2021-01-12,25301,1197,0,167,Jan
196,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,14413,473,0,149,Jan
197,Top 5 Data Analyst Interview Mistakes,2021-01-05,57543,1584,0,64,Jan
198,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1551,140,0,101,Dec
199,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,40581,1178,0,138,Dec
200,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,10290,231,0,32,Dec
201,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17,45022,1511,0,207,Dec
202,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15,76051,2584,0,140,Dec
203,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10,2612,94,0,54,Dec
204,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08,257106,4373,0,166,Dec
205,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03,22720,738,0,194,Dec
206,Intermediate SQL Tutorial | Partition By,2020-12-01,201426,5112,0,182,Dec
207,Data Analyst Q/A LIVE #5 | AMA,2020-11-28,4794,131,0,18,Nov
208,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25,24077,872,0,161,Nov
209,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19,14226,565,0,206,Nov
210,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17,233620,9156,0,211,Nov
211,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12,3724,120,0,80,Nov
212,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10,23140,619,0,62,Nov
213,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,12173,359,0,115,Nov
214,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,75157,3559,0,275,Nov
215,Data Analyst Q&A LIVE #4,2020-10-30,3433,105,0,25,Oct
216,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,13538,551,0,223,Oct
217,Top 10 Udemy Courses for Data Analysts,2020-10-22,142090,4363,0,275,Oct
218,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,176875,6203,0,986,Oct
219,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,4524,171,0,72,Oct
220,Top 10 Coursera Courses for Data Analysts,2020-10-13,101989,4563,0,279,Oct
221,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,7078,359,0,178,Oct
222,Data Analyst Expectations vs Reality,2020-10-06,75225,2797,0,187,Oct
223,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,7120,254,0,164,Oct
224,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24,44464,1487,0,715,Sep
225,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22,14429,608,0,82,Sep
226,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10,413088,12133,0,3814,Sep
227,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08,43935,1323,0,74,Sep
228,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03,19378,668,0,83,Sep
229,Top 5 Reasons Not to Lie on Your Resume,2020-09-01,11476,202,0,116,Sep
230,Live Data Analyst Q&A #3,2020-08-29,2805,101,0,43,Aug
231,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20,129129,4656,0,273,Aug
232,Top 5 Reasons Not to Become a Data Analyst,2020-08-12,914527,19689,0,1052,Aug
233,Data Analyst Bootcamps | Are They Worth It?,2020-08-05,32394,553,0,91,Aug
234,What Does a Data Analyst Actually Do?,2020-07-29,849500,16927,0,455,Jul
235,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22,4173,166,0,67,Jul
236,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15,52878,1367,0,157,Jul
237,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03,731100,18815,0,573,Jul
238,Best Free Online Courses for Data Analysts,2020-06-23,55995,2730,0,95,Jun
239,Best Online Courses for Data Analysts,2020-06-17,177952,9255,0,417,Jun
240,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10,753924,23599,0,850,Jun
